OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat
22,PG&E,,CEC,SUBSTATION,306611,Newark,230,94538,CA,Alameda County,Fremont,-121.9862624,37.50087312
23,PG&E,,CEC,SUBSTATION,305695,Parks,,94568,CA,Alameda County,Dublin,-121.8938504,37.71164362
24,PG&E,,CEC,SUBSTATION,300539,Radum,60,94566,CA,Alameda County,Pleasanton,-121.859528,37.67255501
25,PG&E,,CEC,SUBSTATION,302831,Ralph,,94514,CA,Alameda County,Unincorporated,-121.6199438,37.79905699
26,PG&E,,CEC,SUBSTATION,308197,Ravenswood,230,94025,CA,San Mateo County,Menlo Park,-122.1379462,37.49296812
27,PG&E,,CEC,SUBSTATION,304946,San Leandro U,115,94578,CA,Alameda County,San Leandro,-122.1481883,37.71062477
28,PG&E,,CEC,SUBSTATION,306989,Oakland J,115,94621,CA,Alameda County,Oakland,-122.2144948,37.76299826
29,PG&E,,CEC,SUBSTATION,306148,Sunol,,94586,CA,Alameda County,Unincorporated,-121.869684,37.58690266
30,PG&E,15X,CEC,SUBSTATION,305530,Tesla,500,95377,CA,Alameda County,Unincorporated,-121.5648579,37.71239639
31,PG&E,,CEC,SUBSTATION,300606,Vallecitos,,94586,CA,Alameda County,Unincorporated,-121.842671,37.60924399
32,PG&E,,CEC,SUBSTATION,306744,Vasco,60,94551,CA,Alameda County,Livermore,-121.7158749,37.71111924
33,PG&E,,CEC,SUBSTATION,306816,Vineyard,,94566,CA,Alameda County,Pleasanton,-121.8544376,37.66968929
34,PG&E,,CEC,SUBSTATION,306187,Amfor,60,95685,CA,Amador County,Unincorporated,-120.822098,38.408767
35,PG&E,,CEC,SUBSTATION,300035,Clay,60,95640,CA,Amador County,Ione,-120.9349804,38.34219061
36,Other,,CEC,SUBSTATION,300305,Ione,60,95640,CA,Amador County,Unincorporated,-120.9575497,38.37390104
37,PG&E,,CEC,SUBSTATION,303132,Ione Energy,,95640,CA,Amador County,Unincorporated,-120.9138995,38.27717343
38,PG&E,,CEC,SUBSTATION,306434,Martell,60,95642,CA,Amador County,Unincorporated,-120.796754,38.36910799
39,Other,,CEC,SUBSTATION,300400,Nepco,,95685,CA,Amador County,Unincorporated,-120.8054803,38.36863575
40,PG&E,,CEC,SUBSTATION,304637,Oleta,60,95669,CA,Amador County,Plymouth,-120.8449436,38.48076425
41,PG&E,H11,CEC,SUBSTATION,306859,Salt Springs,115,95666,CA,Amador County,Unincorporated,-120.2184202,38.4984199
42,PG&E,,CEC,SUBSTATION,306215,Pine Grove,60,95665,CA,Amador County,Unincorporated,-120.6602339,38.4127977
43,PG&E,,CEC,SUBSTATION,307115,Lammers,115,95377,CA,San Joaquin County,Unincorporated,-121.4775277,37.71296547
44,PG&E,,CEC,SUBSTATION,302814,A.P.T. Oro,,95965,CA,Butte County,Oroville,-121.5654854,39.48122633
45,Other,,CEC,SUBSTATION,301839,Gridley,60,95948,CA,Butte County,Gridley,-121.6856152,39.36471316
46,Other,,CEC,SUBSTATION,305907,Louisiana Pacific (Oroville),,95965,CA,Butte County,Unincorporated,-121.5747818,39.47437782
47,Other,,CEC,,,City Of Biggs,,95917,CA,Butte County,Unincorporated,-121.6886266,39.4087526
48,PG&E,,CEC,SUBSTATION,303296,Cabrillo,115,93436,CA,Santa Barbara County,Lompoc,-120.4372802,34.64326979
49,Other,,CEC,SUBSTATION,307094,Anita,60,95973,CA,Butte County,Unincorporated,-121.9196266,39.81095374
50,PG&E,,CEC,SUBSTATION,302304,Bangor,,95914,CA,Butte County,Unincorporated,-121.4031757,39.38767374
51,PG&E,H10,CEC,SUBSTATION,303665,Big Bend,115,95965,CA,Butte County,Unincorporated,-121.4915179,39.67735464
52,PG&E,,CEC,SUBSTATION,303732,Butte,115,95928,CA,Butte County,Chico,-121.8133571,39.71220645
53,PG&E,,CEC,SUBSTATION,304029,Chico A,,95928,CA,Butte County,Chico,-121.8209206,39.71884016
54,PG&E,,CEC,SUBSTATION,308381,Chico B,115,95928,CA,Butte County,Chico,-121.8470758,39.72551493
55,IID,,CEC,SUBSTATION,301865,Ramon,,92276,CA,Riverside County,Unincorporated,-116.3674057,33.81774602
56,PG&E,,CEC,SUBSTATION,300607,Esquon,115,95938,CA,Butte County,Unincorporated,-121.7683336,39.60773551
57,PG&E,,CEC,SUBSTATION,303483,Hamilton A,,95951,CA,Glenn County,Unincorporated,-122.0113693,39.74641854
58,PG&E,,CEC,SUBSTATION,310438,Honcut,115,95965,CA,Butte County,Unincorporated,-121.5953277,39.32058027
59,Other,,CEC,SUBSTATION,306312,Kanaka,115,95966,CA,Butte County,Unincorporated,-121.3055783,39.57518648
60,PG&E,,CEC,SUBSTATION,305811,Nord,115,95973,CA,Butte County,Unincorporated,-121.9070486,39.7602408
61,PG&E,,CEC,SUBSTATION,300584,Oro Fino,,95954,CA,Butte County,Unincorporated,-121.6107851,39.87156253
62,PG&E,,CEC,SUBSTATION,300266,Oroville,60,95965,CA,Butte County,Oroville,-121.560155,39.50399795
63,PG&E,,CEC,SUBSTATION,307680,Palermo,230,95966,CA,Butte County,Unincorporated,-121.5176615,39.45434305
64,PG&E,,CEC,SUBSTATION,309157,Paradise,,95969,CA,Butte County,Paradise,-121.6187304,39.76066295
65,PG&E,,CEC,SUBSTATION,301112,Peachton,,95948,CA,Butte County,Unincorporated,-121.6850945,39.37824172
66,PG&E,,CEC,SUBSTATION,303844,Sycamore Creek,115,95973,CA,Butte County,Chico,-121.8240284,39.76876106
67,PG&E,66,CEC,SUBSTATION,300007,Table Mt.,,95965,CA,Butte County,Unincorporated,-121.6447874,39.55528056
68,PG&E,,CEC,SUBSTATION,304191,Tres Vias,115,95965,CA,Butte County,Unincorporated,-121.6880242,39.48676454
69,PG&E,,CEC,SUBSTATION,302198,Wyandotte,115,95966,CA,Butte County,Unincorporated,-121.5409467,39.49170026
70,Other,,CEC,SUBSTATION,308779,Calaveras Cement,60,95249,CA,Calaveras County,Unincorporated,-120.6672277,38.16989692
71,Other,,CEC,SUBSTATION,307549,Cataract,,95310,CA,Tuolumne County,Unincorporated,-120.4221335,38.06981688
72,PG&E,,CEC,SUBSTATION,300455,Corral,60,95236,CA,Calaveras County,Unincorporated,-120.9261759,38.10148065
73,PG&E,,CEC,SUBSTATION,305719,Frogtown,,95222,CA,Calaveras County,Unincorporated,-120.5339711,38.0571528
74,WAPA,H2,CEC,SUBSTATION,304398,Melones,230,95222,CA,Calaveras County,Unincorporated,-120.5362212,37.9446466
75,PG&E,,CEC,SUBSTATION,308813,Murphy,115,95247,CA,Calaveras County,Unincorporated,-120.4464194,38.14698707
76,PG&E,,CEC,SUBSTATION,307819,North Branch,60,95249,CA,Calaveras County,Unincorporated,-120.719348,38.19974699
77,PG&E,,CEC,SUBSTATION,303253,Valley Springs,,95252,CA,Calaveras County,Unincorporated,-120.7640105,38.21658506
78,PG&E,,CEC,SUBSTATION,303681,Arbuckle,60,95912,CA,Colusa County,Unincorporated,-122.0613948,39.01747968
79,PG&E,,CEC,SUBSTATION,306707,Colusa,60,95932,CA,Colusa County,Colusa,-122.0025503,39.21353467
80,PG&E,66X,CEC,SUBSTATION,300004,Cortina,,95987,CA,Colusa County,Unincorporated,-122.2233349,39.12054474
81,PG&E,,CEC,SUBSTATION,302981,Drake,60,95912,CA,Colusa County,Unincorporated,-122.0433322,38.96982277
82,PG&E,,CEC,SUBSTATION,307397,Harrington,60,95912,CA,Colusa County,Unincorporated,-122.0704684,38.96922396
83,PG&E,,CEC,SUBSTATION,306085,Maxwell,60,95955,CA,Colusa County,Unincorporated,-122.1532889,39.27695996
84,PG&E,,CEC,SUBSTATION,304472,Rice,60,95970,CA,Colusa County,Unincorporated,-122.0132647,39.40274718
85,PG&E,,CEC,SUBSTATION,301442,Williams,60,95987,CA,Colusa County,Williams,-122.1477121,39.15748765
86,SCE,,CEC,SUBSTATION,303308,Etiwanda,,91739,CA,San Bernardino County,Rancho Cucamonga,-117.5270464,34.08917006
87,SCE,,CEC,SUBSTATION,307039,Stadium,,90803,CA,Los Angeles County,Long Beach,-118.1002474,33.77133255
88,PG&E,,CEC,SUBSTATION,309944,Alhambra,115,94553,CA,Contra Costa County,Martinez,-122.1301156,37.99392322
89,PG&E,,CEC,SUBSTATION,308431,Byron Bethany,60,94514,CA,Contra Costa County,Unincorporated,-121.5871457,37.81698936
90,Other,,CEC,SUBSTATION,303848,Du Pont,60,94561,CA,Contra Costa County,Oakley,-121.748771,38.01132999
91,Other,,CEC,SUBSTATION,301537,Los Vaqueros,,94505,CA,Contra Costa County,Unincorporated,-121.5769277,37.88699377
92,Other,,CEC,SUBSTATION,307155,GWF 3,230,94509,CA,Contra Costa County,Antioch,-121.7811308,38.01183098
93,PG&E,,CEC,SUBSTATION,302041,GWF 4,60,94509,CA,Contra Costa County,Antioch,-121.7562696,38.01049965
94,PG&E,,CEC,,,Linde,,94565,CA,Contra Costa County,Pittsburg,-121.8496279,38.02639867
95,Other,,CEC,SUBSTATION,303191,Shell Oil 1,115,94553,CA,Contra Costa County,Unincorporated,-122.1158065,38.01420008
96,Other,,CEC,SUBSTATION,305575,Union Chemical,60,94572,CA,Contra Costa County,Unincorporated,-122.2354177,38.01900393
97,Other,,CEC,SUBSTATION,302976,Walnut Creek Pp,,94597,CA,Contra Costa County,Walnut Creek,-122.0713843,37.92595616
98,Other,,CEC,,,Tres Vaqueros Wind Farm (Jv Ent),,94514,CA,Contra Costa County,Unincorporated,-121.6229064,37.83870261
99,PG&E,,CEC,SUBSTATION,308996,Balfour,60,94513,CA,Contra Costa County,Brentwood,-121.678276,37.92583801
100,Other,,CEC,SUBSTATION,308223,Bollman,115,94520,CA,Contra Costa County,Unincorporated,-122.0426788,38.0125913
101,PG&E,,CEC,SUBSTATION,305606,Brentwood,,94513,CA,Contra Costa County,Unincorporated,-121.6767632,37.91905743
102,Other,,CEC,SUBSTATION,300121,Briones,60,94517,CA,Contra Costa County,Unincorporated,-121.8144465,37.88525172
103,PG&E,,CEC,SUBSTATION,300153,Christie,115,94553,CA,Contra Costa County,Unincorporated,-122.208368,38.00286202
104,PG&E,,CEC,SUBSTATION,303412,Clayton,115,94521,CA,Contra Costa County,Concord,-121.9691071,37.94410025
105,Other,,CEC,SUBSTATION,307092,Columbia Steel,115,94565,CA,Contra Costa County,Pittsburg,-121.8633112,38.02598429
106,PG&E,,CEC,SUBSTATION,305643,Antioch,60,94509,CA,Contra Costa County,Antioch,-121.815552,38.01351802
107,PG&E,,CEC,SUBSTATION,304763,Contra Costa,230,94509,CA,Contra Costa County,Antioch,-121.7828231,37.99955468
108,Other,,CEC,SUBSTATION,306032,Dow Chemical,,94565,CA,Contra Costa County,Pittsburg,-121.8543797,38.02728725
109,PG&E,,CEC,SUBSTATION,301921,East Portal,115,94563,CA,Contra Costa County,Orinda,-122.1870459,37.8759552
110,PG&E,,CEC,SUBSTATION,304175,El Cerrito Station G,115,94530,CA,Contra Costa County,El Cerrito,-122.3022222,37.91625224
111,PG&E,,CEC,SUBSTATION,304242,Fibreboard,115,94509,CA,Contra Costa County,Antioch,-121.7739186,38.01599634
112,PG&E,,CEC,SUBSTATION,306689,Franklin,60,94547,CA,Contra Costa County,Hercules,-122.26433,38.012107
113,PG&E,,CEC,SUBSTATION,303302,Herdlyn,60,94514,CA,Contra Costa County,Unincorporated,-121.5861654,37.81672046
114,PG&E,,CEC,SUBSTATION,303584,Imhoff,115,94553,CA,Contra Costa County,Unincorporated,-122.0672557,38.00163657
115,PG&E,East Bay,CEC,SUBSTATION,309545,Kirker,115,94565,CA,Contra Costa County,Pittsburg,-121.905955,38.02078899
116,PG&E,,CEC,SUBSTATION,305570,Lakewood,115,94597,CA,Contra Costa County,Walnut Creek,-122.0573349,37.90841013
117,PG&E,,CEC,SUBSTATION,303575,Marsh,60,94513,CA,Contra Costa County,Brentwood,-121.7226957,37.90286541
118,PG&E,,CEC,SUBSTATION,307646,Meadow Lane,115,94520,CA,Contra Costa County,Concord,-122.0522531,37.96324326
119,PG&E,East Bay,CEC,SUBSTATION,301876,Moraga,230,94563,CA,Contra Costa County,Orinda,-122.1608319,37.84776393
120,PG&E,East Bay,CEC,SUBSTATION,306987,Pittsburg,230,94565,CA,Contra Costa County,Pittsburg,-121.896796,38.036822
121,PG&E,,CEC,SUBSTATION,302095,Point Pinole,115,94806,CA,Contra Costa County,Richmond,-122.3481031,37.99592158
122,Other,,CEC,SUBSTATION,303251,Port Costa Brick,60,94569,CA,Contra Costa County,Unincorporated,-122.178096,38.03732601
123,Other,,CEC,SUBSTATION,301740,Posco,,94565,CA,Contra Costa County,Pittsburg,-121.8669588,38.02595566
124,PG&E,,CEC,SUBSTATION,309537,Rossmoor,230,94549,CA,Contra Costa County,Walnut Creek,-122.0803233,37.86465422
125,PG&E,,CEC,,,San Ramon Research Cntr.,230,94583,CA,Contra Costa County,Danville,-121.9676624,37.78241596
126,PG&E,,CEC,SUBSTATION,307126,San Pablo,,94806,CA,Contra Costa County,Richmond,-122.3368253,37.98529641
127,PG&E,East Bay,CEC,SUBSTATION,309611,San Ramon,230,94583,CA,Contra Costa County,San Ramon,-121.9359098,37.74472575
128,PG&E,,CEC,SUBSTATION,307001,Sobrante,230,94563,CA,Contra Costa County,Orinda,-122.2080951,37.90545805
129,PG&E,,CEC,SUBSTATION,309979,Narrows,60,95977,CA,Nevada County,Unincorporated,-121.2686315,39.23512867
130,PG&E,,CEC,SUBSTATION,309103,Tidewater,230,94553,CA,Contra Costa County,Unincorporated,-122.061857,38.0196442
131,PG&E,,CEC,SUBSTATION,308410,Unocal,,94525,CA,Contra Costa County,Unincorporated,-122.2345322,38.05340781
132,PG&E,,CEC,SUBSTATION,308825,Urich,60,94553,CA,Contra Costa County,Martinez,-122.103101,38.028955
133,PG&E,,CEC,SUBSTATION,301579,Valley View,115,94803,CA,Contra Costa County,Unincorporated,-122.2786242,37.96613398
134,PG&E,,CEC,SUBSTATION,300160,Willow Pass,115,94565,CA,Contra Costa County,Unincorporated,-121.9609733,38.02477032
135,PCORP,,CEC,SUBSTATION,203296,Belmont,69,95531,CA,Del Norte County,Unincorporated,-124.2078921,41.77306065
136,PCORP,,CEC,SUBSTATION,203292,Del Norte,115,95531,CA,Del Norte County,Unincorporated,-124.1390726,41.86766181
137,PCORP,,CEC,SUBSTATION,203293,Gasquet,115,95543,CA,Del Norte County,Unincorporated,-123.9667513,41.84825595
138,PCORP,,CEC,SUBSTATION,203291,Lake Earl,,95531,CA,Del Norte County,Crescent City,-124.1479862,41.85179685
139,PCORP,,CEC,SUBSTATION,203301,Miller Redwood,69,95548,CA,Del Norte County,Unincorporated,-124.0974249,41.73290031
140,PCORP,,CEC,SUBSTATION,203298,Northcrest,69,95531,CA,Del Norte County,Crescent City,-124.1991805,41.76606163
141,PCORP,,CEC,SUBSTATION,203306,Patrick'S Creek,115,95543,CA,Del Norte County,Unincorporated,-123.8646665,41.88140087
142,PCORP,,CEC,SUBSTATION,203295,Redwood,69,95531,CA,Del Norte County,Unincorporated,-124.1634726,41.76081304
143,PCORP,,CEC,SUBSTATION,203290,Simonson,,95567,CA,Del Norte County,Unincorporated,-124.1394239,41.92514595
144,PCORP,,CEC,SUBSTATION,203303,Smith River,,95567,CA,Del Norte County,Unincorporated,-124.1405754,41.88541567
145,PCORP,,CEC,SUBSTATION,203314,Steelhead,69,95568,CA,Siskiyou County,Unincorporated,-123.0350791,41.77442883
146,PCORP,,CEC,SUBSTATION,202983,Yurok,69,95548,CA,Del Norte County,Unincorporated,-124.0504349,41.54336778
147,Other,,CEC,SUBSTATION,309884,Meyers,,96150,CA,El Dorado County,Unincorporated,-119.9858527,38.87724089
148,Other,,CEC,,,Stateline,,96150,CA,El Dorado County,South Lake Tahoe,-119.9432533,38.93184131
149,PG&E,,CEC,,,Apple Hill,,95709,CA,El Dorado County,Unincorporated,-120.6771651,38.73968297
150,SCE,,CEC,SUBSTATION,302035,San Bernardino,,92408,CA,San Bernardino County,Redlands,-117.2386538,34.07960733
151,PG&E,,CEC,SUBSTATION,302248,Diamond Springs,115,95667,CA,El Dorado County,Unincorporated,-120.8258948,38.69341229
152,PG&E,SMUD,CEC,,,El Dorado,230,95726,CA,El Dorado County,Unincorporated,-120.6219215,38.79560543
153,PG&E,,CEC,SUBSTATION,303272,Flint,,95603,CA,Placer County,Auburn,-121.0671416,38.88492041
154,PG&E,,CEC,SUBSTATION,310069,Limestone,,95682,CA,El Dorado County,Unincorporated,-120.9801828,38.6349329
155,PG&E,,CEC,SUBSTATION,303981,Mt. Quarries,60,95614,CA,El Dorado County,Unincorporated,-121.0189822,38.91406597
156,PG&E,,CEC,SUBSTATION,306130,Newcastle,115,95658,CA,Placer County,Unincorporated,-121.094821,38.83485899
157,PG&E,,CEC,SUBSTATION,304255,Placerville,115,95667,CA,El Dorado County,Placerville,-120.7838386,38.73089864
158,PG&E,,CEC,SUBSTATION,306505,Shingle Springs,,95682,CA,El Dorado County,Unincorporated,-120.9472381,38.65929769
159,PG&E,,CEC,SUBSTATION,303839,Clarksville,,95762,CA,El Dorado County,Unincorporated,-121.0595437,38.65571788
160,Other,,CEC,SUBSTATION,304454,Blythe Walc,161,92225,CA,Riverside County,Blythe,-114.6804774,33.61125837
161,SMUD,,CEC,SUBSTATION,307578,Jones Fork,,51,CA,El Dorado County,Unincorporated,-120.3819544,38.85028861
162,PG&E,SMUD,CEC,SUBSTATION,308707,Camino,,95726,CA,El Dorado County,Unincorporated,-120.619311,38.79337762
163,SMUD,SMUD,CEC,SUBSTATION,300800,Union Valley,230,51,CA,El Dorado County,Unincorporated,-120.4428515,38.86343203
164,Other,,CEC,SUBSTATION,309725,Guardian and Eastbank,115,93631,CA,Fresno County,Kingsburg,-119.5818423,36.54076139
165,Other,,CEC,SUBSTATION,308967,Las Palmas,115,93727,CA,Fresno County,Unincorporated,-119.6968545,36.75773233
166,Other,,CEC,SUBSTATION,300523,Mussel Slough,60,93245,CA,Kings County,Unincorporated,-119.9470597,36.31946224
167,Other,,CEC,,,Cal Resources LLC,60,93210,CA,Fresno County,Unincorporated,-120.3687036,36.23774299
168,PG&E,15,CEC,SUBSTATION,306180,Oxford,500,93640,CA,Fresno County,Unincorporated,-120.7018288,36.71509335
169,Other,,CEC,SUBSTATION,310397,Penn Zier,60,93210,CA,Fresno County,Unincorporated,-120.3814639,36.22456945
170,PG&E,,CEC,SUBSTATION,304977,Ranchers Cotton,115,93725,CA,Fresno County,Unincorporated,-119.754489,36.70056751
171,PG&E,,CEC,SUBSTATION,304800,River Rock,60,93730,CA,Fresno County,Unincorporated,-119.773843,36.90286001
172,Other,,CEC,SUBSTATION,303884,Tornado,60,93210,CA,Fresno County,Unincorporated,-120.3552717,36.19229514
173,PG&E,,CEC,SUBSTATION,302217,Westlands,60,93668,CA,Fresno County,Unincorporated,-120.3423122,36.63241754
174,Other,,CEC,SUBSTATION,310526,Kamm,,93640,CA,Fresno County,Unincorporated,-120.4852632,36.52807464
175,Other,,CEC,SUBSTATION,302267,Agrico,60,93630,CA,Fresno County,Unincorporated,-120.0998217,36.6176958
176,PG&E,,CEC,SUBSTATION,304283,Barton,115,93727,CA,Fresno County,Fresno,-119.7349108,36.76424276
177,PG&E,,CEC,SUBSTATION,303612,Biola,70,93630,CA,Fresno County,Unincorporated,-120.1141466,36.79273987
178,PG&E,,CEC,SUBSTATION,305986,Bullard,115,93710,CA,Fresno County,Fresno,-119.7684759,36.82387712
179,Other,,CEC,SUBSTATION,306230,Calflax,60,93234,CA,Fresno County,Unincorporated,-120.122075,36.28400837
180,PG&E,,CEC,SUBSTATION,300661,Camden,60,93656,CA,Fresno County,Unincorporated,-119.7989666,36.44598609
181,PG&E,,CEC,SUBSTATION,303854,Cantua,115,93210,CA,Fresno County,Unincorporated,-120.3416558,36.42931356
182,PG&E,,CEC,SUBSTATION,304454,Capco Madera,60,93622,CA,Fresno County,Firebaugh,-120.4495568,36.83609272
183,PG&E,,CEC,SUBSTATION,309247,Caruthers,,93609,CA,Fresno County,Unincorporated,-119.8814695,36.53216946
184,PG&E,,CEC,SUBSTATION,304203,Cheney,,93640,CA,Fresno County,Unincorporated,-120.5319935,36.63275972
185,PG&E,,CEC,SUBSTATION,305589,Clovis,115,93611,CA,Fresno County,Clovis,-119.6812538,36.82619811
186,PG&E,H15,CEC,SUBSTATION,302915,Coppermine,115,93619,CA,Fresno County,Unincorporated,-119.6647064,36.89581265
187,Other,,CEC,SUBSTATION,302287,Derrick,,93210,CA,Fresno County,Unincorporated,-120.3378885,36.22650304
188,Other,,CEC,SUBSTATION,305901,Dinuba Energy,60,93654,CA,Tulare County,Unincorporated,-119.4190334,36.57016948
189,PG&E,,CEC,SUBSTATION,307630,Dunlap,60,93641,CA,Fresno County,Unincorporated,-119.0289556,36.70935277
190,PG&E,,CEC,SUBSTATION,304773,Fig Garden,,93711,CA,Fresno County,Fresno,-119.8589279,36.82191867
191,PG&E,,CEC,SUBSTATION,307163,Firebaugh,60,93622,CA,Fresno County,Unincorporated,-120.4663723,36.8505811
192,PG&E,15,CEC,SUBSTATION,309714,Gates,,93234,CA,Fresno County,Unincorporated,-120.1254637,36.14024498
193,PG&E,,CEC,SUBSTATION,303660,Giffen,60,93608,CA,Fresno County,Unincorporated,-120.3347756,36.5451436
194,PG&E,,CEC,SUBSTATION,304973,Hammonds,115,93622,CA,Fresno County,Unincorporated,-120.6033108,36.72023522
195,PG&E,,CEC,SUBSTATION,303306,Helm,230,93660,CA,Fresno County,Unincorporated,-120.1761988,36.59142343
196,PG&E,15,CEC,SUBSTATION,302888,Herndon,230,93722,CA,Fresno County,Fresno,-119.9221347,36.84471786
197,PG&E,,CEC,SUBSTATION,304055,Huron,115,93234,CA,Fresno County,Unincorporated,-120.1039111,36.18606391
198,PG&E,,CEC,SUBSTATION,310472,Kerman,60,93630,CA,Fresno County,Unincorporated,-120.060083,36.69153501
199,PG&E,,CEC,SUBSTATION,301827,Kearney (New),230,93706,CA,Fresno County,Unincorporated,-119.882865,36.70562289
200,PG&E,,CEC,SUBSTATION,305853,Kearney (Old),60,93706,CA,Fresno County,Unincorporated,-119.880023,36.706794
201,PG&E,H5,CEC,SUBSTATION,304409,Kings River,,93664,CA,Fresno County,Unincorporated,-119.1594746,36.88826815
202,PG&E,,CEC,SUBSTATION,301616,Kingsburg,115,93631,CA,Fresno County,Unincorporated,-119.5824902,36.48843212
203,PG&E,,CEC,SUBSTATION,307652,Malaga,115,93725,CA,Fresno County,Unincorporated,-119.726534,36.69325502
204,PG&E,,CEC,SUBSTATION,300176,Manchester,115,93726,CA,Fresno County,Fresno,-119.7878789,36.78805531
205,PG&E,H5,CEC,SUBSTATION,308822,McCall,230,93625,CA,Fresno County,Unincorporated,-119.6392106,36.61082901
206,PG&E,,CEC,SUBSTATION,304647,Mc Mullin,230,93706,CA,Fresno County,Unincorporated,-119.9887084,36.59336916
207,PG&E,,CEC,SUBSTATION,309412,Mendota,115,93640,CA,Fresno County,Unincorporated,-120.4589551,36.72059631
208,Other,,CEC,SUBSTATION,310154,Mendota Biomass,60,93640,CA,Fresno County,Mendota,-120.3653702,36.75624051
209,PG&E,,CEC,SUBSTATION,306702,Oro Loma,115,93622,CA,Fresno County,Unincorporated,-120.654916,36.88675057
210,PG&E,,CEC,SUBSTATION,302316,Bowles,60,93725,CA,Fresno County,Unincorporated,-119.773307,36.60561902
211,PG&E,,CEC,SUBSTATION,307408,Panoche,230,93622,CA,Fresno County,Unincorporated,-120.5817561,36.65353625
212,PG&E,,CEC,SUBSTATION,301266,Parlier,,93648,CA,Fresno County,Parlier,-119.5213101,36.60755351
213,Other,H5,CEC,,,Piedra,,93657,CA,Fresno County,Unincorporated,-119.4034036,36.78995077
214,PG&E,,CEC,SUBSTATION,301252,Rainbow,,93657,CA,Fresno County,Unincorporated,-119.5381139,36.71022222
215,PG&E,,CEC,SUBSTATION,308378,Reedley,115,93654,CA,Fresno County,Unincorporated,-119.3762084,36.6043472
216,PG&E,,CEC,SUBSTATION,302873,San Joaquin,60,93660,CA,Fresno County,Unincorporated,-120.1783513,36.62093615
217,PG&E,,CEC,SUBSTATION,309016,Sand Creek,60,93647,CA,Tulare County,Unincorporated,-119.1604981,36.64478731
218,PG&E,H5,CEC,SUBSTATION,303753,Sanger,115,93657,CA,Fresno County,Unincorporated,-119.6109001,36.70722322
219,PG&E,,CEC,SUBSTATION,304309,Schindler,115,93234,CA,Fresno County,Unincorporated,-120.1387222,36.40194442
220,PG&E,,CEC,SUBSTATION,304332,Stroud,60,93627,CA,Fresno County,Unincorporated,-120.1045065,36.53108764
221,PG&E,,CEC,SUBSTATION,310134,Tivy Valley,,93657,CA,Fresno County,Unincorporated,-119.393313,36.77054901
222,Other,,CEC,SUBSTATION,303835,Air Products,115,93725,CA,Fresno County,Unincorporated,-119.721984,36.68753802
223,PG&E,,CEC,SUBSTATION,305874,Wahtoke,115,93654,CA,Fresno County,Reedley,-119.4526087,36.61539071
